"","PID","crt","mean_honesty_rating","lie_detect_dprime","lie_prop","age","gender","ed_lev","(Intercept)","normed_signed_e_v","normed_unsigned_e_v","subject_liedTRUE","subject_lostTRUE"
"34","5e9d85d30b8c7c057f5a88ff",1,3.6,0.129477225906542,0.0333333333333333,24,1,5,0,0.46078095313672,0.446117571793131,-0.120571447539355,-0.187289521434139
"35","5ea59ffb9325e15853a82d84",3,2.4,0.108594178839533,0.0111111111111111,44,1,5,0,0.282464453721205,0.218059347446224,-0.155283269053014,0.124426910282588
"36","5ea9ad9eb1d9cc0e40dadc38",4,3,0.134504702147063,0.411111111111111,28,1,6,0,0.48345643567122,0.254165424756645,0.0312933613410533,-0.0388789608557095
"37","5eb06e5ac2728b106d4f25e2",2,2.77777777777778,0.121736231798078,0.455555555555556,66,0,5,0,0.558641620280867,0.0179936361738037,-0.038469292825941,-0.0870939667110038
"38","5ed0dc47fd66121c75e88443",3,2.5,0.171765737291105,0.5,38,0,5,0,0.241639692938898,0.318314475471887,0.0787755281064435,0.239594903164934
"39","5eda87309c985569eb4cb2e0",3,2.7,0.109831036668814,0.0888888888888889,44,1,3,0,0.495534578963027,0.331440692654047,0.213481241462733,-0.0487426632521283
"40","5edd630ac419bf0ed18c99b5",4,2.6,0.103402787509036,0,40,0,5,0,0.445875940508201,0.265990967543266,NA,-0.0309520718505274
"41","5ee14621de2a9d521f4b8ac9",1,3.61111111111111,0,0.0111111111111111,33,1,5,0,0.417401354170315,0.306957872428938,0.0869509529734349,-0.105970741698858
"42","5ef3efcb420ab11a45a0b8a6",1,2.4,0.12112026700154,0.211111111111111,22,0,5,0,0.0951972391191201,0.579786469194643,-0.0478486446910313,0.0773212564639306
"43","5efca932f2f942072e5f81f0",2,2.75555555555556,0.185699142403777,0.466666666666667,21,1,9,0,0.368263224943511,0.403976140551609,-0.0577494790918696,-0.043708205035165
"44","5f0c866a16b2120d2236bd22",2,2.18888888888889,0.0695335334987018,0.0666666666666667,25,1,6,0,0.468156119499401,0.186827956312632,-0.080513963613433,0.0584394566615064
"45","5f1068965807420374b9c1ae",3,3.78888888888889,-0.00858040146187788,0.0111111111111111,60,1,5,0,-0.0932492053164611,0.604946298695667,-0.119433537914094,0.136642456732334
"46","5f2aec7bad745643d7271f4c",1,3.11111111111111,0.109831036668814,0.3,25,1,5,0,0.444120017285333,0.341108060221695,-0.0251918224987474,-0.121024338644978
"47","5f31454776609f5f32bb6004",3,2.2,0.190826678542955,0.0111111111111111,26,0,5,0,0.459993949502714,0.397841098834005,-0.00924551984448533,-0.171174888937218
"48","5f3146c0e8a9536043a627d4",3,3,0.194472345829463,0.622222222222222,48,1,6,0,0.440173774118136,0.282289323626561,-0.018424825429786,NA
"49","5f32486253e14b0451ec5912",0,2.27777777777778,0.136128860613606,0.655555555555556,30,1,2,0,-0.000314702990976144,0.689503742283233,-0.0895430487218957,-0.0293409941088019
"50","5f36cd2444884c0f7ff186f6",0,3.6,-0.0263934270385406,0.522222222222222,21,1,2,0,0.430475868833323,0.280905787017515,-0.0957301862382631,-0.05872664252584
"51","5f3d6f7010ad88124f3906e2",3,2.93333333333333,0.149416314395009,0.4,24,0,3,0,0.296283381661645,0.467219166566029,-0.060088047526456,0.00213985873700714
"52","5f4cfa7d6a1d1208290ad728",1,1.93333333333333,0.0670135851603061,0.588888888888889,27,0,2,0,0.277531111520127,0.329101530687997,0.125335604034594,-0.0359969715691946
"53","5f63200376dee328ac929c62",4,3.24444444444444,0.13699212433874,0.6,22,1,5,0,0.325980798546664,0.36039993526742,0.0502351682378246,NA
"54","5f86195dd152441468676e7b",1,4.15555555555556,-0.0087429299033388,0.0444444444444444,32,1,5,0,0.573843237530221,0.0575712126532403,-0.00946332659735778,-0.0340163022621626
"55","5f9e0b03428ebf3b96bbb035",0,3.73333333333333,0.0962724351342437,0.133333333333333,33,1,3,0,0.512487627678705,0.259195926596293,-0.0576955518711497,0.0292276244736515
"56","5fa6aa44f58492308aa2fc15",3,3.48888888888889,0.0874121570788551,0.4,20,0.5,2,0,0.28621632823566,0.300921852128576,0.0763348712554337,0.0427936532828638
"57","5fb24f562595717d5f7ab216",3,2.38888888888889,0.112900683754877,0.0333333333333333,34,1,5,0,0.0866476863824752,0.314367147137606,-0.104011734813248,0.208547839612314
"58","5fb32a1f69fda0a53751a1b7",0,4.61111111111111,0.043974785652274,0,23,1,2,0,0.563259892279839,0.232886105916938,NA,-0.0587649878436313
"59","5fd4d08021ce43067dbc7bba",4,2.7,0.202390275199518,0.677777777777778,39,1,2,0,0.281394836139819,0.437340844697272,0.0326664518324168,NA
"60","5fefbee02c2ee6e7ad30b24d",3,3.25555555555556,0.103498390602785,0.555555555555556,26,1,6,0,0.203510360863144,0.376792790040199,0.0635731770529064,NA
"61","6004773518dc462500aff1ae",2,3.07777777777778,0.0867270297008438,0.0111111111111111,44,1,6,0,0.329515124295857,0.293471134056122,-0.0764396572986843,-0.00270298272154859
"62","601708e29c081191c364be10",4,3.22222222222222,0.176522107095784,0.633333333333333,21,1,3,0,0.481048217335722,0.340633003578567,0.00100946906983019,-0.00658933684071973
"63","601de190e37c951eaa8c89e4",3,3.15555555555556,0.0509837314844869,0.444444444444444,23,1,5,0,0.130139174100753,0.481798111674716,-0.183788324109126,0.085869440132666
"64","603fda0a4fd86b1385c5d9c8",3,4.11111111111111,0.0265109485881916,0.0333333333333333,20,1,2,0,0.484216739728071,0.294897985430561,-0.114673745913878,0.0217283497857073
"65","605541df03fcde33b8c9aec6",1,3.02222222222222,-0.00862713594503961,0.0333333333333333,28,1,3,0,-0.0606935965802778,0.437572773008092,0.0598079078595079,0.290618344938523
"66","60565d6c83ea07438e00198e",3,3.65555555555556,0.141290251346849,0.0111111111111111,38,1,5,0,0.260951401626183,0.476682552539481,0.197034302451688,-0.0639811142381096
"67","6061e96a5b863d17ce943cca",1,2.44444444444444,0.118214441255339,0.433333333333333,42,1,8,0,0.170094319077892,0.380456324750164,-0.0516642735740898,0.0565826064277404
