"","PID","crt","mean_suspicion_rating","age","gender","ed_lev","lie_prop_redpick","dprime","beta","hitrate","farate","acc","n_lied_self","tp","fp","subject_lostTRUE","subject_liedTRUE","normed_signed_e_v","normed_unsigned_e_v","dprime_art","beta_art","hitrate_art","farate_art","acc_art"
"62","601708e29c081191c364be10",4,2.77777777777778,21,1,3,0.982758620689655,1.58473767995115,3.07446438520203,0.533333333333333,0.0666666666666667,0.733333333333333,57,24,3,-0.00252387827725659,-0.000243479914647577,0.446294558712804,0.453074213924457,2.0346386373811,1.20942090743709,0.822222222222222,0.133333333333333,0.844444444444444
"63","601de190e37c951eaa8c89e4",3,2.84444444444444,23,1,5,0.735849056603774,0.394345428979628,1.25082784195969,0.355555555555556,0.222222222222222,0.566666666666667,40,16,10,0.00484962540211686,-0.0112035645082051,0.639797309040305,0.00359683244346021,1.18478046967405,1.12536462505948,0.688888888888889,0.244444444444444,0.722222222222222
"64","603fda0a4fd86b1385c5d9c8",3,1.88888888888889,20,1,2,0.0357142857142857,0.48064781800491,2.01820657464107,0.111111111111111,0.0444444444444444,0.533333333333333,3,5,2,0.00367736990902584,0.0147853712746565,0.58787120418161,0.23624717367624,1.9042624986421,2.12363937203278,0.711111111111111,0.0888888888888889,0.811111111111111
"65","605541df03fcde33b8c9aec6",1,2.97777777777778,28,1,3,0.0317460317460317,-0.0726325371723739,0.948470054931281,0.222222222222222,0.244444444444444,0.488888888888889,3,10,11,0.0016340023520318,0.231655066411979,0.0133664561076111,-0.0194830591158822,1.33432456663296,1.26210992382241,0.688888888888889,0.2,0.744444444444444
"66","60565d6c83ea07438e00198e",3,2.34444444444444,38,1,5,0,1.09654507135182,1.66442155761558,0.533333333333333,0.155555555555556,0.688888888888889,1,24,7,0.323953361717913,0.00188618374257797,0.343469705075124,0.419762937384449,1.4567868104004,1.05432954345876,0.755555555555556,0.222222222222222,0.766666666666667
"67","6061e96a5b863d17ce943cca",1,3.55555555555556,42,1,8,0.735849056603774,0.863067577866801,1.05421187547136,0.644444444444444,0.311111111111111,0.666666666666667,39,29,14,0.381562429058407,0.170704814663601,0.57920514731267,0.0327012845873791,0.993289968016847,1.13363965629838,0.644444444444444,0.266666666666667,0.688888888888889
"68","606c9e1647fee0e506367aa2",1,3.03333333333333,49,0,3,0.436363636363636,1.15260363632655,1.65403370243194,0.555555555555556,0.155555555555556,0.7,37,25,7,0,0.00746680285473078,0.345333657989111,0.0799605215359598,1.84356607205744,1.73492329543687,0.733333333333333,0.111111111111111,0.811111111111111
"69","606f3f493aaf55785016c33c",3,2,31,0,5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1.50559667050473,1.47934314648419,0.688888888888889,0.155555555555556,0.766666666666667
"70","60849f67b844d7d15447ce33",1,3.24444444444444,32,0.5,2,0.942307692307692,1.1200787543895,1.50307891412362,0.577777777777778,0.177777777777778,0.7,49,26,8,0.00101965266196055,0.0891206849171731,0.478410832336413,0.214046135437195,1.6885766945307,0.874262422848903,0.822222222222222,0.222222222222222,0.8
"71","608db844ab2dfce10e0af300",0,3.76666666666667,21,1,3,0.660377358490566,0.0557100539709174,1,0.511111111111111,0.488888888888889,0.511111111111111,41,23,22,0.0210616411839206,0.178838457080845,0.0412523957359618,0.0868556024132115,1.4567868104004,1.05432954345876,0.755555555555556,0.222222222222222,0.766666666666667
"72","6093e79630fb5907d056a0da",3,3.24444444444444,20,0,3,0.982456140350877,0.642529092637932,1.5595411129208,0.355555555555556,0.155555555555556,0.6,59,16,7,0.0504600373129471,0.00492697772465875,0.0340608379263799,0.28316591031863,1.464546956783,0.852020303462262,0.8,0.266666666666667,0.766666666666667
"73","60a7d66f9d0072607d4f4853",3,3.17777777777778,20,1,3,0.307692307692308,0.888288870259197,1.24637066403728,0.577777777777778,0.244444444444444,0.666666666666667,21,26,11,0.0143849020935494,0.123014900221665,0.249085530118255,0.338146124907547,1.38763539699647,1.10337340001316,0.733333333333333,0.222222222222222,0.755555555555556
"74","60b8f470036424e02185689b",3,2.95555555555556,23,0,1,0.69811320754717,1.09428177443909,2.40117792372722,0.4,0.0888888888888889,0.655555555555556,40,18,4,-0.0152728513674529,-0.00560016350073192,0.0111973572908807,0.507417839431145,1.60347494969683,1.64136547966144,0.688888888888889,0.133333333333333,0.777777777777778
"75","60b91e026710e9a6e50e96e6",0,2.97777777777778,27,1,8,0.931034482758621,0.50878882615136,2.44285830759945,0.0666666666666667,0.0222222222222222,0.522222222222222,54,3,1,-0.00720031626659592,0.00418470344486434,0.085901981758149,0.246286623021671,2.0346386373811,1.20942090743709,0.822222222222222,0.133333333333333,0.844444444444444
"76","60bb3b463887c2f9d1385cce",2,3.21111111111111,29,0,4,0.175438596491228,0.239356229924241,1.09339322355622,0.4,0.311111111111111,0.544444444444444,15,18,14,-0.013480827235642,0.000514192734044249,0.567122366030932,0,1.18478046967405,1.12536462505948,0.688888888888889,0.244444444444444,0.722222222222222
